sent-id,disj_count,min_dep_length,conj_count,mean_dep_length,token_count,verb_count,max_dep_length,class_score,flesh_reading_ease,is_sent,big_np_count,big_pp_count,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized
9933,0,1,0,1.67,10,1,3,0.97,71.82,1,1,0,daumenkino,Das Wort Daumen-kino hat diese 2 Wörter: • Daumen,6_long,Film_und_Kino|Technik,2014-03-01T15:38:30Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Das 1:=Wort 2:=Daumen-kino 3:=hat 4:=diese 5:=2 6:=Wörter: 7:=• 8:=Daumen
27253,0,1,0,1.67,4,1,3,1.0,34.59,1,0,0,kriterien,Kriterien grenzen ein.,0_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2017-08-29T13:52:21Z,8e384e35a2bd67eaeb964edc16d2f92c,0:=Kriterien 1:=grenzen 2:=ein.
27343,0,1,0,2.89,10,1,8,1.0,87.72,1,1,0,kultur,Kultur ist alles was von Menschen gemacht worden ist.,0_short,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2016-03-14T11:57:06Z,48f66906899cc4a9477b6c9e32ff4424,0:=Kultur 1:=ist 2:=alles 3:=was 4:=von 5:=Menschen 6:=gemacht 7:=worden 8:=ist.
27156,0,1,0,1.86,9,1,4,1.0,64.37,1,0,0,krass,Beispiel: \newline Michael findet den Horrorfilm krass.,1_long,Ohne_Kategorie,2011-12-02T12:05:23Z,a9f29492ed8786de5125371472bcc003,0:=Beispiel: 1:=\newline 2:=Michael 3:=findet 4:=den 5:=Horrorfilm 6:=krass.
42358,0,1,0,2.12,10,1,6,0.84,104.64,0,0,0,sneak-preview,Sneak Preview Filme gibt es seit den 1930er Jahren.,5_long,Film_und_Kino|Seiten_mit_defekten_Dateilinks,2017-10-23T06:43:33Z,48f66906899cc4a9477b6c9e32ff4424,0:=Sneak 1:=Preview 2:=Filme 3:=gibt 4:=es 5:=seit 6:=den 7:=1930er 8:=Jahren.
27198,0,1,0,3.38,9,1,7,1.0,88.74,1,0,0,kredit,Ich kann mir bei der Bank Geld ausborgen.,2_short,Geld,2015-11-23T11:05:06Z,88797a15ffaeedd9a8292e0b51c85385,0:=Ich 1:=kann 2:=mir 3:=bei 4:=der 5:=Bank 6:=Geld 7:=ausborgen.
1916,0,1,0,2.0,9,0,7,1.0,88.74,1,1,1,annalena-baerbock,Sie ist Mitglied in der Partei Die Grünen.,9_long,Aus_den_Nachrichten|Personen|Politik,2021-11-29T06:50:49Z,48f66906899cc4a9477b6c9e32ff4424,0:=Sie 1:=ist 2:=Mitglied 3:=in 4:=der 5:=Partei 6:=Die 7:=Grünen.
29274,0,1,0,1.88,9,1,6,1.0,88.74,1,0,1,lowe,Der Löwe gehört zu der Familie der Katzen.,3_short,Tiere|Seiten_mit_defekten_Dateilinks,2023-06-29T12:17:58Z,ab62fc4b1975a3ebc0bd2c4dccf571d8,0:=Der 1:=Löwe 2:=gehört 3:=zu 4:=der 5:=Familie 6:=der 7:=Katzen.
26916,0,1,0,3.73,12,0,10,0.8,53.88,1,0,0,korea-konflikt,Davor ist Süd-korea und Nord-korea ein (1) Land gewesen.,3_long,Geopolitik|Politik|Aus_den_Nachrichten,2018-02-18T07:36:44Z,48f66906899cc4a9477b6c9e32ff4424,0:=Davor 1:=ist 2:=Süd-korea 3:=und 4:=Nord-korea 5:=ein 6:=(1) 7:=Land 8:=gewesen.
26970,0,1,0,1.33,4,0,2,0.55,93.81,1,0,0,korpergewicht,Es ist un-gesund.,5_long,Gesundheit|Seiten_mit_defekten_Dateilinks,2019-12-27T09:05:27Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Es 1:=ist 2:=un-gesund.
9935,0,1,0,1.67,7,0,3,0.98,48.47,1,1,0,daumenkino,Das Wort Daumen-kino ist ein Substantiv.,8_long,Film_und_Kino|Technik,2014-03-01T15:38:30Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Das 1:=Wort 2:=Daumen-kino 3:=ist 4:=ein 5:=Substantiv.
9761,0,1,0,1.6,6,0,3,1.0,83.32,1,0,0,dalmatiner,Ein Dalmatiner ist ein Hund.,0_short,Tiere,2008-05-26T18:54:01Z,1165823e29d5567f66ef3bbbcbfabcad,0:=Ein 1:=Dalmatiner 2:=ist 3:=ein 4:=Hund.
42127,0,1,0,2.25,9,1,6,1.0,71.82,1,0,0,sitzvolleyball,Beim Sitz-volley-ball sitzen die Spieler auf dem Boden.,0_long,Sport|Paralympics,2012-01-30T18:24:13Z,d4171b2c36772be4cad75ef4078874bd,0:=Beim 1:=Sitz-volley-ball 2:=sitzen 3:=die 4:=Spieler 5:=auf 6:=dem 7:=Boden.
1491,0,1,0,2.0,7,1,4,1.0,56.93,1,0,0,aluminiumhut,Der Aluminium-hut wird oft ironisch benutzt.,0_long,Kleider,2013-10-27T07:10:27Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Der 1:=Aluminium-hut 2:=wird 3:=oft 4:=ironisch 5:=benutzt.
1022,0,1,0,2.11,10,0,5,0.88,87.72,1,0,1,aleppo,Ab dem Jahr 1970 waren Bau-arbeiter in der Alt-stadt.,9_long,Städte|Seiten_mit_defekten_Dateilinks,2016-09-26T14:57:00Z,7b5adf57ed2178795004f4c052333f37,0:=Ab 1:=dem 2:=Jahr 3:=1970 4:=waren 5:=Bau-arbeiter 6:=in 7:=der 8:=Alt-stadt.
1167,0,1,0,2.0,9,2,4,1.0,88.74,1,0,0,alkohol,Wenn man die Alkohol-krankheit hat braucht man Hilfe.,19_long,Essen_und_Trinken|Seiten_mit_defekten_Dateilinks|Wörter_mit_verschiedenen_Bedeutungen,2023-05-18T06:47:13Z,48f66906899cc4a9477b6c9e32ff4424,0:=Wenn 1:=man 2:=die 3:=Alkohol-krankheit 4:=hat 5:=braucht 6:=man 7:=Hilfe.
