sentence,tree,is_sent
Eine sehr bekannte Alchemisten war Maria die Jüdin.,(S (NP (ART Eine) (AP (ADV sehr) (ADJA bekannte)) (NN Alchemisten)) (VAFIN war) (PN (NE Maria) (NP (ART die) (NN Jüdin)))) ($. .),True
Alchemisten wollen etwas ver-bessern.,(S (NN Alchemisten) (VMFIN wollen) (VP (PIS etwas) (VVINF ver-bessern))) ($. .),True
"Zum Beispiel, \newline wollen sie kranke Menschen gesund machen.","(PP (APPRART Zum) (NN Beispiel)) ($, ,) (S (ADV \newline) (VMFIN wollen) (PPER sie) (VP (NP (ADJA kranke) (NN Menschen)) (ADJD gesund) (VVINF machen))) ($. .)",True
Alchemisten haben Athanoren benutzt.,(S (NN Alchemisten) (VAFIN haben) (VP (NN Athanoren) (VVPP benutzt))) ($. .),True
Sue haben Schwarz-pulver erfunden.,(S (NE Sue) (VAFIN haben) (VP (NN Schwarz-pulver) (VVPP erfunden))) ($. .),True
Und sie haben Porzellan erfunden.,(S (KON Und) (PPER sie) (VAFIN haben) (VP (NN Porzellan) (VVPP erfunden))) ($. .),True
Alchemie ist ein arabisches Wort.,(S (NN Alchemie) (VAFIN ist) (NP (ART ein) (ADJA arabisches) (NN Wort))) ($. .),True
Alchemie ist Chemie.,(S (NN Alchemie) (VAFIN ist) (NN Chemie)) ($. .),True
Es werden Versuche und Experimente gemacht.,(S (NP (PPER Es)) (VAFIN werden) (CNP (NN Versuche) (KON und) (NN Experimente)) (VVPP gemacht)) ($. .),True
Damit man versteht wie etwas funktioniert.,(S (KOUS Damit) (PIS man) (VVFIN versteht) (S (PWAV wie) (PIS etwas) (VVFIN funktioniert))) ($. .),True
Durch Alchemie entdeckt man neue Sachen.,(S (PP (APPR Durch) (NN Alchemie)) (VVFIN entdeckt) (PIS man) (NP (ADJA neue) (NN Sachen))) ($. .),True
Zum Beispiel wie man Porzellan macht.,(S (PP (APPRART Zum) (NN Beispiel)) (PWAV wie) (PIS man) (NN Porzellan) (VVFIN macht)) ($. .),True
Oder wie man Gold macht.,(S (KON Oder) (PWAV wie) (PIS man) (NN Gold) (VVFIN macht)) ($. .),True
Alkopops schmecken ähnlich wie Cola.,(S (NN Alkopops) (VVFIN schmecken) (AP (ADJD ähnlich) (NP (KOKOM wie) (NN Cola)))) ($. .),True
Den Alkohol schmeckt man fast nicht.,(S (NP (ART Den) (NN Alkohol)) (VVFIN schmeckt) (PIS man) (AVP (ADV fast) (PTKNEG nicht))) ($. .),True
Meistens werden Alkopos in bunten Flaschen verkauft.,(S (ADV Meistens) (VAFIN werden) (NN Alkopos) (VP (PP (APPR in) (ADJA bunten) (NN Flaschen)) (VVPP verkauft))) ($. .),True
Alcopop ist ein süßes Getränk.,(S (NN Alcopop) (VAFIN ist) (NP (ART ein) (ADJA süßes) (NN Getränk))) ($. .),True
In diesem Getränk ist Alkohol.,(S (PP (APPR In) (PDAT diesem) (NN Getränk)) (VAFIN ist) (NN Alkohol)) ($. .),True
Aldous Huxley kommt am 26. Juli 1894 auf die Welt.,(S (PN (NE Aldous) (NE Huxley)) (VVFIN kommt) (PP (APPRART am) (ADJA 26.) (NN Juli) (CARD 1894)) (PP (APPR auf) (ART die) (NN Welt))) ($. .),True
"In Godalming, Surrey.","(APPR In) (NE Godalming) ($, ,) (PP (NE Surrey)) ($. .)",False
"Er stirbt am 22. November 1963. \newline In Los Angeles, USA. \newline  \newline Im Jahr 1932: \newline Huxley schreibt seinen berühmtesten Roman.",(PPER Er) (VVFIN stirbt) (APPRART am) (ADJA 22.) (NN November) ($. 1963.),False
Den Science-fiction: \newline Schöne neue Welt \newline Es ist eine Dystopie.,(NP (ART Den) (NN Science-fiction)) ($. :) (NE \newline),False
Aldous Huxley war ein Schrift-steller.,(S (PN (NE Aldous) (NE Huxley)) (VAFIN war) (NP (ART ein) (NN Schrift-steller))) ($. .),True
Aleppo ist eine sehr alte Stadt.,(S (NE Aleppo) (VAFIN ist) (NP (ART eine) (AP (ADV sehr) (ADJA alte)) (NN Stadt))) ($. .),True
Menschen haben hier schon 3 Tausend Jahre vor Christus gelebt.,(S (NN Menschen) (VAFIN haben) (VP (ADV hier) (NP (ADV schon) (CARD 3) (NN Tausend) (NN Jahre) (PP (APPR vor) (NN Christus))) (VVPP gelebt))) ($. .),True
"Im Jahr 2008 haben ungefähr 1,7 Millionen Menschen in Aleppo gewohnt.","(S (PP (APPRART Im) (NN Jahr) (CARD 2008)) (VAFIN haben) (NP (AP (ADJD ungefähr) (NM (CARD 1,7) (NN Millionen))) (NN Menschen)) (VP (PP (APPR in) (NE Aleppo)) (VVPP gewohnt))) ($. .)",True
Die meisten Menschen in Aleppo sind Araber und Kurden.,(S (NP (ART Die) (PIAT meisten) (NN Menschen) (PP (APPR in) (NE Aleppo))) (VAFIN sind) (CNP (NN Araber) (KON und) (NN Kurden))) ($. .),True
Das heißt: \newline Die meisten Menschen in Aleppo sind Muslime.,(S (PDS Das) (VVFIN heißt)) ($. :) (NE \newline),True
In Aleppo gibt es auch Christ.,(S (PP (APPR In) (NE Aleppo)) (VVFIN gibt) (PPER es) (ADV auch) (NN Christ)) ($. .),True
Ungefähr 15 Prozent der Menschen in Aleppo sind Christen.,(S (NP (AP (ADV Ungefähr) (CARD 15)) (NN Prozent) (NP (ART der) (NN Menschen) (PP (APPR in) (NE Aleppo)))) (VAFIN sind) (NN Christen)) ($. .),True
Im Jahr 1952 hat ein Architekt neue Straßen geplant.,(S (PP (APPRART Im) (NN Jahr) (CARD 1952)) (VAFIN hat) (NP (ART ein) (NN Architekt)) (VP (NP (ADJA neue) (NN Straßen)) (VVPP geplant))) ($. .),True
Moderne und breite Straßen.,(CNP (NN Moderne) (KON und) (NP (ADJA breite) (NN Straßen))) ($. .),False
Ab dem Jahr 1970 waren Bau-arbeiter in der Alt-stadt.,(S (PP (APPR Ab) (ART dem) (NN Jahr) (CARD 1970)) (VAFIN waren) (NN Bau-arbeiter) (PP (APPR in) (ART der) (NN Alt-stadt))) ($. .),True
Sie haben viele alte Häuser abgerissen.,(S (PPER Sie) (VAFIN haben) (VP (NP (PIAT viele) (ADJA alte) (NN Häuser)) (VVPP abgerissen))) ($. .),True
"Und neue, moderne Wohn-blöcke gebaut.","(KON Und) (CAP (ADJA neue)) ($, ,) (VP (NP (ADJA moderne) (NN Wohn-blöcke)) (VVPP gebaut)) ($. .)",False
Im Jahr 1986 hat die UNESCO gesagt: \newline Die Alt-stadt von Aleppo ist jetzt Welt-kultur-erbe.,(S (PP (APPRART Im) (NN Jahr) (CARD 1986)) (VAFIN hat) (NP (ART die) (NE UNESCO)) (VP (VVPP gesagt))) ($. :) (FM \newline),True
In Syrien ist Bürger-krieg.,(S (PP (APPR In) (NE Syrien)) (VAFIN ist) (NN Bürger-krieg)) ($. .),True
Viele Stadt-teile sind kaputt.,(S (NP (PIAT Viele) (NN Stadt-teile)) (VAFIN sind) (ADJD kaputt)) ($. .),True
Viele Bewohner sind geflüchtet.,(S (NP (PIAT Viele) (NN Bewohner)) (VAFIN sind) (VVPP geflüchtet)) ($. .),True
Aleppo ist eine Stadt in Syrien.,(S (NE Aleppo) (VAFIN ist) (NP (ART eine) (NN Stadt) (PP (APPR in) (NE Syrien)))) ($. .),True
Aleppo ist die zweit-größte Stadt in Syrien.,(S (NE Aleppo) (VAFIN ist) (NP (ART die) (ADJA zweit-größte) (NN Stadt) (PP (APPR in) (NE Syrien)))) ($. .),True
Die größte Stadt in Syrien ist Damaskus.,(S (NP (ART Die) (ADJA größte) (NN Stadt) (PP (APPR in) (NE Syrien))) (VAFIN ist) (NE Damaskus)) ($. .),True
Der Mann Ali ibn Abi Talib ist den Aleviten sehr wichtig.,(S (NP (ART Der) (NN Mann) (PN (NE Ali) (NE ibn) (NE Abi) (NE Talib))) (VAFIN ist) (NP (ART den) (NN Aleviten)) (AP (ADV sehr) (ADJD wichtig))) ($. .),True
Dieser Mann ist der Schwieger-sohn von Mohammed.,(NP (PDAT Dieser) (NN Mann)) (VAFIN ist) (ART der) (NN Schwieger-sohn) (PP (APPR von) (NE Mohammed)) ($. .),False
Die Religion der Aleviten ist etwas anders als die der meisten Muslime.,(S (NP (ART Die) (NN Religion) (NP (ART der) (NN Aleviten))) (VAFIN ist) (AVP (ADV etwas) (ADV anders) (NP (KOKOM als) (PDS die) (NP (ART der) (PIAT meisten) (NN Muslime))))) ($. .),True
Zum Beispiel tragen die meisten alevitischen Frauen kein Kopftuch.,(S (PP (APPRART Zum) (NN Beispiel)) (VVFIN tragen) (NP (ART die) (PIAT meisten) (ADJA alevitischen) (NN Frauen)) (NP (PIAT kein) (NN Kopftuch))) ($. .),True
Ungefähr ein Drittel der Menschen in der Türkei sind Aleviten.,(S (NP (ADV Ungefähr) (ART ein) (NN Drittel) (NP (ART der) (NN Menschen) (PP (APPR in) (ART der) (NE Türkei)))) (VAFIN sind) (NN Aleviten)) ($. .),True
Die Aleviten sind eine Religions-gemeinschaft.,(S (NP (ART Die) (NN Aleviten)) (VAFIN sind) (NP (ART eine) (NN Religions-gemeinschaft))) ($. .),True
Eine Religions-gemeinschaft sind mehrere Menschen.,(S (NP (ART Eine) (NN Religions-gemeinschaft)) (VAFIN sind) (NP (PIAT mehrere) (NN Menschen))) ($. .),True
Sie haben eine bestimmte Religion.,(S (PPER Sie) (VAFIN haben) (NP (ART eine) (ADJA bestimmte) (NN Religion))) ($. .),True
Die Religions-gemeinschaft der Aleviten kommt aus der Türkei.,(S (NP (ART Die) (NN Religions-gemeinschaft) (NP (ART der) (NN Aleviten))) (VVFIN kommt) (PP (APPR aus) (ART der) (NE Türkei))) ($. .),True
Einige Aleviten sehen sich als Muslime.,(S (NP (PIAT Einige) (NN Aleviten)) (VVFIN sehen) (PRF sich) (PP (APPR als) (NN Muslime))) ($. .),True
