sent-id,topic,phrase,num_statements,LLAMA predictions
29217,louis-braille,Louis Braille wurde am 4. Januar 1809 geboren.,1,1
29218,louis-braille,"Das war in Coupvray, Frankreich.",2,1
29219,louis-braille,Er ist am 6. Januar 1852 gestorben.,1,1
29220,louis-braille,"Das war in Paris, Frankreich.",2,1
29221,louis-braille,"Als Louis Braille 3 Jahre alt war, \newline hat er in der Werk-statt von seinem Vater gespielt.",4,2
29222,louis-braille,Er hat mit einer Ahle gespielt.,2,1
29223,louis-braille,Mit der Ahle hat er sich ein Auge schwer verletzt.,4,1
29224,louis-braille,Das verletzte Auge hat sich entzündet.,2,1
29225,louis-braille,Und dann das andere Auge angesteckt.,1,1
29226,louis-braille,Danach war Louis Braille blind.,1,1
29227,louis-braille,Louis Braille ging zur ersten Blinden-schule der Welt.,1,1
29228,louis-braille,Das war die Schule von Valentin Haüy.,1,1
29229,louis-braille,Valentin Haüy hat verschiedene Geräte gebaut.,1,1
29230,louis-braille,"Zum Beispiel ein Gerät, \newline dass Musik-noten auf Papier prägen konnte.",1,2
29231,louis-braille,So konnte man die Noten mit den Fingern fühlen.,1,1
29232,louis-braille,Louis Braille fand die Idee gut.,1,1
29233,louis-braille,Er hat in der Werkstatt von seinem Vater verschiedene Sachen ausprobiert.,3,1
29234,louis-braille,"Zum Beispiel Dreiecke, Quadrate und Kreise in Leder stanzen.",3,1
29235,louis-braille,"Als Louis Braille 11 Jahr alt ist, \newline entdeckt er die Nacht-schrift.",2,2
29236,louis-braille,Die Nacht-schrift hat der Hauptmann Charles Barbier erfunden.,2,1
29237,louis-braille,Die Nacht-schrift ist kompliziert.,1,1
29238,louis-braille,Louis Braille macht die Nacht-schrift einfacher.,1,1
29239,louis-braille,Im Jahr 1825 ist Louis Braille fertig mit der Schrift.,2,1
29240,louis-braille,Er hat die Blinden-schrift erfunden.,1,1
29241,louis-braille,Er ist jetzt 16 Jahre alt.,1,1
29242,louis-braille,Louis Braille war ein Erfinder.,1,1
29243,louis-braille,Er hat die Schrift für blinde Menschen erfunden.,1,1
29244,loukanikos,Wegen der griechischen Staats-schulden-krise haben viele Menschen demonstriert.,2,1
29245,loukanikos,Loukanikos war sehr oft dabei.,1,1
29246,loukanikos,Dadurch wurde Loukanikos sehr bekannt.,1,1
29247,loukanikos,Viele Zeitungen haben über den Hund berichtet.,1,1
29248,loukanikos,Loukanikos war ein Hund der auf der Straße gelebt hat.,2,1
29249,loukanikos,Im Jahr 2011 wurde Loukanikos zur Person of the Year gewählt.,2,1
29250,loukanikos,Im Jahr 2012 hat ihn eine Familie aufgenommen.,2,1
29251,loukanikos,Dort hat er bis zum Jahr 2014 gelebt.,1,1
29252,loukanikos,Im Oktober 2014 ist Loukanikos gestorben.,1,1
29253,loukanikos,Viele sagen er hat sehr viel schlechte Mittel von den Polizisten eingeatmet.,2,2
29254,loukanikos,Darum wurde er sehr krank.,1,1
29255,loukanikos,Loukanikos wurde 10 Jahre alt.,1,1
29256,loukanikos,Er ist auf einem Berg begraben worden.,1,1
29258,loukanikos,Loukanikos war ein bekannter Hund.,1,1
29259,loukanikos,Er war dabei als Menschen in Griechenland demonstriert haben.,2,1
29260,lowe,Löwen haben ein Fell.,1,1
29261,lowe,Das Fell ist gold-braun oder sand-farben.,2,2
29262,lowe,Ein männlicher Löwen hat eine Mähne.,1,1
29263,lowe,Ein Männchen kann bis zu 250 kg wiegen.,1,1
29264,lowe,Löwen leben in Rudeln.,1,1
29265,lowe,Ein Rudel ist eine Gruppe Tiere einer Art.,2,1
29266,lowe,Löwen essen Fleisch.,1,1
29267,lowe,Sie jagen andere Tiere.,1,1
29268,lowe,Löwen können schnell rennen.,1,1
29269,lowe,Löwen sind nachtaktiv.,1,1
29270,lowe,Sie schlafen tagsüber.,1,1
29271,lowe,Ein Löwe ist ein Tier.,1,1
29272,lowe,Genauer: Der Löwe ist ein Säuge-tier.,1,1
29273,lowe,Er gehört zu den Groß-katzen.,1,1
29274,lowe,Der Löwe gehört zu der Familie der Katzen.,1,1
29276,lowe,Löwen leben in Afrika.,1,1
29279,lsd,Und LSD macht nicht süchtig.,1,1
29283,lsd,Viele von ihnen überprüfen ihre Glaubens-systeme.,1,1
29284,lsd,Im Jahr 1971. \newline Die Vereinten Nationen verbieten LSD.,2,2
29285,lsd,Lyserg-säure-diethylamid ist ein künstlicher Wirk-stoff.,1,1
29286,lsd,In natürlicher Form kommt LSD im Mutterkorn-alkaloiden vor.,2,1
29287,lsd,Der LSD Wirk-stoff löst Halluzinationen aus.,1,1
29288,lsd,LSD gilt als Droge.,1,1
29289,lsd,Und ist durch das Betäubungs-mittel-gesetz verboten.,2,1
29290,luddismus,"Menschen die an Luddismus glauben,  \newline nennt man Ludditen.",2,2
29291,luddismus,Eine einzelene Person nennt man Luddist.,1,1
29293,luddismus,Ein Luddit möchte lieber ohne viel Technik leben.,1,1
29295,luddismus,Das Wort Luddismus gibt es seit dem 19. Jahr-hundert.,1,1
29297,luddismus,Und sie wollen Maschinen kaputt machen.,1,1
29298,luddismus,Und sie machen Proteste gegen Technik.,1,1
29299,luddismus,Luddismus ist wenn man neue Technik schlecht findet.,2,1
29300,ludwig-lugmeier,Ludwig Lugmeier ist in Kochel geboren.,1,1
29301,ludwig-lugmeier,Er ist am 31. Juli geboren.,1,1
29302,ludwig-lugmeier,Im Jahr 1949. \newline Ludwig Lugmeier ist 59 Jahre alt.,2,2
29303,ludwig-lugmeier,Ludwig Lugmeier ist Schriftsteller.,1,1
29304,ludwig-lugmeier,Und er ist ein Millionen-dieb.,1,1
29305,ludwig-lugmeier,Weil er sehr viel Geld geklaut hat.,1,1
29306,ludwig-lugmeier,Er hat mit anderen zusammen einen Geld-transport über-fallen.,2,1
29307,ludwig-lugmeier,Er hat über 2 Millionen DM ge-klaut.,1,1
29308,ludwig-lugmeier,Für seine Über-fälle musste er ins Gefängnis.,2,1
29311,ludwig-lugmeier,Und viele Sachen ge-klaut.,1,1
29312,ludwig-lugmeier,Ludwig Lugmeier ist ein bekannter Mann.,1,1
29313,ludwig-lugmeier,"Er ist bekannt, weil er viel Geld ge-klaut hat.",2,2
29314,ludwig-lugmeier,Und weil er aus einem Fenster springt.,1,1
29315,ludwig-lugmeier,Während er im Gerichts-saal eine Strafe bekommt.,2,1
29316,ludwig-lugmeier,Nach dem Fenster-sprung flüchtet er.,1,1
29317,ludwig-lugmeier,Ludwig Lugmeier schreibt Bücher.,1,1
29318,ludwig-lugmeier,Bekannt sind die Bücher über sein Leben.,1,1
29319,ludwik-lejzer-zamenhof,Ludwik Lejzer Zamenhof kommt am 15. Dezember 1859 auf die Welt.,1,1
29321,ludwik-lejzer-zamenhof,"Er stirbt am 14. April 1917 in Warschau, Polen.",3,1
29322,ludwik-lejzer-zamenhof,Im Jahr 1887. \newline Zamenhof gründet die Plan-sprache Esperanto.,2,2
29323,ludwik-lejzer-zamenhof,Er gebraucht das Pseudonym: \newline  \newline Doktoro Esperanto.,1,1
29325,ludwik-lejzer-zamenhof,Sie nenne ihn den Zamenhof-tag.,1,1
29326,ludwik-lejzer-zamenhof,Zamenhof macht seine Menschheits-lehre bekannt.,1,1
29328,ludwik-lejzer-zamenhof,Und zeit-weise ist er ein Zionist.,1,1
29329,ludwik-lejzer-zamenhof,Er verfasst eine frühe Grammatik.,1,1
29331,ludwik-lejzer-zamenhof,Ludwik Lejzer Zamenhof war ein Augen-arzt.,1,1
29333,luftmatratze,"Eine Luftmatratze ist zum drauf-liegen, drauf-sitzen oder schwimmen.",3,3
29334,luftmatratze,Luftmatratzen sind meistens aus Gummi.,1,1
29335,luftmatratze,Sie haben ein Loch zum auf-blasen.,2,1
29336,luftmatratze,Das Wort Luftmatratze ist ein Substantiv.,2,1
29337,luftmatratze,Es hat 2 Wörter: • Luft (damit wird sie gefüllt  zum Beispiel durch pusten),3,2
29338,luftmatratze,Es hat 2 Wörter: • Matratze (zum drauf liegen),2,1
29339,luftmatratze,Eine Luftmatratze ist eine Matratze zum auf-blasen.,2,1
29340,luftpolsterfolie,Die Luft-polster-folie hat Luft-blasen.,1,1
29341,luftpolsterfolie,Dadurch ist sie besunders gut zum: • verpacken,1,2
29342,luftpolsterfolie,Dadurch ist sie besunders gut zum: • schützen,1,2
29343,luftpolsterfolie,Die Luftpolsterfolie wurde von diesen 2 Personen erfunden:,1,1
29347,luftpolsterfolie,Spielen mit Luftpolsterfolie macht Spaß.,1,1
29348,luftpolsterfolie,Dabei werden die Blasen (mit Luft drinne) ausgedrückt.,2,1
29349,luftpolsterfolie,Das gibt einen Knall.,1,1
29350,luftpolsterfolie,Für manche ist dieses Spiel Entspannung.,1,1
29351,luftpolsterfolie,Kleider \newline Manche basteln sich aus Luftpolsterfolie Kleider zum anziehen.,2,2
29352,luftpolsterfolie,Eine Luftpolsterfolie wird benutzt um: • etwas zu verpacken (zum Beispiel in einem Karton),3,2
29353,luftpolsterfolie,Eine Luftpolsterfolie wird benutzt um: • etwas zu schützen (damit es nicht kaputt geht),3,2
29354,luft,Wir brauchen Luft zum Atmen.,1,1
29357,luft,Diese Stoffe brauchen wir zum Über-leben.,1,1
29358,luft,Luft kann man nicht sehen.,1,1
29359,luft,Luft ist überall um uns herum.,2,1
29360,luft,Wir spüren die Luft als Wind.,1,1
29361,lugenpresse,Das Wort wird oft von PEGIDA benutzt.,1,1
29362,lugenpresse,PEGIDA sagt: alles was in der Zeitung über PEGIDA steht ist falsch.,3,2
29363,lugenpresse,Sie sagen: die Zeitungen wollen etwas verstecken.,2,1
29364,lugenpresse,Darum sagen sie: Lügen-presse.,1,1
29365,lugenpresse,Das Wort wird oft beim Thema Nationalsozialismus benutzt.,1,1
29366,lugenpresse,"Das heißt: jemand der etwas böses oder schlechtes macht, \newline möchte nicht das andere darüber schreiben.",4,2
29367,lugenpresse,Darum benutzen solche Menschen manchmal das Wort Lügen-presse.,1,1
29368,lugenpresse,Lügenpresse ist ein Unwort.,1,1
29369,lugenpresse,Es heißt: was in der Zeitung steht ist falsch.,2,1
29370,luge,Eine Lüge ist: \newline Wenn Menschen den Inhalt vom Satz für falsch halten.,2,2
29371,luge,"Die Menschen denken dann, dass der Inhalt vom Satz mit Absicht falsch ist.",1,1
29372,luge,Man sagt auch: \newline Der Inhalt vom Satz ist gelogen.,1,2
29373,luge,"Wer entscheidet, was eine Lüge ist?",2,1
29374,luge,"Wer entscheidet, was Wahrheit ist?",2,1
29375,luge,Das hängt vom Glauben und vom Wissen der Menschen ab.,2,1
29376,luge,Lügen sind zum Beispiel: • Gras ist blau.,2,1
29377,luge, • Nach Montag kommt Mittwoch.,1,1
29378,luge, • Schnee ist nicht weiß.,1,1
29379,luge,Wer eine Lüge sagt oder schreibt weiß: \newline Das ist nicht die Wahrheit.,4,2
29380,luge,Die Person lügt um andere Menschen zu täuschen.,2,1
29381,luge,Man nennt die Person Lügner.,1,1
29382,luge,In Märchen und Geschichten gibt es auch Lügner.,2,1
29387,luge,Es gibt viele Gründe für Lügen.,1,1
29391,luge,Eine Lüge ist eine absichtlich falsche Aussage.,2,1
29392,luge,Man will andere damit täuschen.,1,1
29393,luiz-inacio-lula-da-silva,Viele sagen zu Luiz Inácio Lula da Silva einfach nur Lula.,1,1
29394,luiz-inacio-lula-da-silva,Lula kommt am 27. Oktober 1945 auf die Welt.,1,1
29395,luiz-inacio-lula-da-silva,"Das war in Caetés, Brasilien.",2,1
29396,luiz-inacio-lula-da-silva,Aufgewachsen ist Lula in São Paulo.,1,1
