tokens,labels
"['Diese', 'Flugzeuge', 'transportierten', 'Nahrung', 'und', 'Brenn-material.']","[0, 0, 0, 1, 0, 2]"
"['Man', 'kann', 'mit', 'einem', 'Fahr-stuhl', 'nach', 'oben', 'fahren.']","[0, 0, 1, 0, 1, 2, 2, 0]"
"['Alex', 'Honnold', 'ist', 'ein', 'bekannter', 'Free', 'Solo', 'Kletterer.']","[0, 0, 0, 0, 1, 2, 2, 2]"
"['Und', 'neue,', 'moderne', 'Wohn-blöcke', 'gebaut.']","[0, 1, 2, 0, 0]"
"['Die', 'Siegermächte', 'regierten', 'ab', 'sofort', 'in', 'ihrer', 'eigenen', 'Zone.']","[0, 0, 0, 1, 1, 2, 2, 2, 2]"
"['Sie', 'treffen', 'sich,', '', '\\newline', 'um', 'gemeinsam', 'kaputte', 'Dinge', 'zu', 'reparieren.']","[1, 1, 1, 0, 0, 0, 3, 2, 2, 2, 2]"
"['Manche', 'sagen:', '\\newline', 'Die', 'Elb-philharmonie', 'ist', 'ist', 'gut.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Im', 'Jahr', '1877', 'heiraten', 'Alexander', 'Graham', 'Bell', 'und', 'Mabel', 'Hubbard.']","[1, 1, 1, 2, 2, 2, 2, 2, 2, 2]"
"['In', 'einem', 'Berg-werk', 'graben', 'Menschen', 'in', 'der', 'Erde.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Der', 'Berliner', 'Fernsehturm', 'ist', 'ein', 'Wahrzeichen', 'der', 'Stadt.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Der', 'Abfall', 'kommt', 'in', 'Tonnen', 'oder', 'Säcke.']","[0, 0, 0, 0, 1, 0, 2]"
"['An', 'der', 'Universität', 'Boston.']","[0, 0, 0, 0]"
"['Die', 'Berlin-Blockade', 'war', 'vom', '23.', 'Juni', '1948', 'bis', 'zum', '12.', 'Mai', '1949.']","[0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2]"
"['Eine', 'Arsch-Bombe', 'ist', 'ein', 'Wasser-Sprung.']","[0, 0, 0, 0, 0]"
"['Der', 'Unter-hosen-zettel', 'ist', 'ein', 'Pflege-symbol.']","[0, 0, 0, 0, 0]"
"['Die', 'Tochter', 'kam', 'am', '17.5.2020', 'auf', 'die', 'Welt.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Ein', 'Beispiel', 'für', 'so', 'eine', 'Person', 'ist:', 'Homer', 'Simpson.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Drachenschlucht', 'ist', 'in', 'einem', 'Natur-schutz-gebiet.']","[0, 0, 0, 0, 0, 0]"
"['In', 'Deutschland', 'ist', 'die', 'größte', 'Japan-town', 'in', 'Düsseldorf.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Reiter', 'können', 'zum', 'Beispiel', 'schlecht', 'sehen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Er', 'hat', 'an', 'der', 'Ludwig-Maximilians-Universität', 'in', 'München', 'studiert.']","[0, 0, 1, 0, 1, 2, 2, 0]"
"['Ein', 'Schoko-kuss', 'ist', 'eine', 'Süßware.']","[0, 0, 0, 0, 0]"
"['Groot', 'ist', 'ein', 'Außerirdischer.']","[0, 0, 0, 0]"
"['Endal', 'war', 'bei', 'sehr', 'vielen', 'Hunde-wettbewerben', 'dabei.']","[0, 0, 0, 0, 0, 0, 0]"
"['Das', 'Ziel', 'der', 'Salamitaktik', 'kann', 'sein:', '•', 'jemanden', 'hin-halten']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Leider', 'bekomme', 'ich', 'keine', 'Katze,']","[0, 0, 0, 0, 0]"
