,Unnamed: 0,sent-id,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized,num_statements,statement_spans,english,amr
0,0,10001025,aleppo,Im Jahr 1986 erklärte die UNESCO:\newlineDie Altstadt von Aleppo gehört heute zum Weltkulturerbe.,12_long,Städte|Seiten_mit_defekten_Dateilinks,2016-09-26T14:57:00Z,7b5adf57ed2178795004f4c052333f37,0:=Im 1:=Jahr 2:=1986 3:=hat 4:=die 5:=UNESCO 6:=gesagt: 7:=\newline 8:=Die 9:=Alt-stadt 10:=von 11:=Aleppo 12:=ist 13:=jetzt 14:=Welt-kultur-erbe.,4,"[[0, 1, 2], [3, 5, 6], [9, 10, 11, 12, 14], [13]]","In 1986, UNESCO declared:\newlineThe old town of Aleppo is now a World Heritage Site.","['# ::snt In 1986, UNESCO declared:\\newlineThe old town of Aleppo is now a World Heritage Site.\n(d / declare-01\n      :ARG0 (o / organization\n            :name (n / name\n                  :op1 ""UNESCO""))\n      :ARG2 (s / site\n            :mod (h / heritage\n                  :mod (w / world))\n            :domain (t / town\n                  :name (n2 / name\n                        :op1 ""Aleppo"")\n                  :mod (o2 / old))\n            :time (n3 / now))\n      :time (d2 / date-entity\n            :year 1986)\n      :mod (l / line\n            :mod o2))']"
1,1,10001032,aleppo,Die größte Stadt in Syrien ist Damaskus.,2_short,Städte|Seiten_mit_defekten_Dateilinks,2016-09-26T14:57:00Z,7b5adf57ed2178795004f4c052333f37,0:=Die 1:=größte 2:=Stadt 3:=in 4:=Syrien 5:=ist 6:=Damaskus.,3,"[[5, 6], [1], [3, 4]]",The largest city in Syria is Damascus.,"['# ::snt The largest city in Syria is Damascus.\n(h / have-degree-91\n      :ARG1 (c / city\n            :name (n / name\n                  :op1 ""Damascus"")\n            :location (c2 / country\n                  :name (n2 / name\n                        :op1 ""Syria"")))\n      :ARG2 (l / large)\n      :ARG3 (m / most))']"
2,2,10001054,alexander-graham-bell,"Er starb am 2. August 1922. \newline in Baddeck, Kanada.",2_long,Personen|Seiten_mit_defekten_Dateilinks,2022-03-03T19:51:00Z,28d34f2e053dee2c0e9399a7924cd978,"0:=Er 1:=stirbt 2:=am 3:=2. 4:=August 5:=1922. 6:=\newline 7:=In 8:=Baddeck, 9:=Kanada.",3,"[[2, 3, 4, 5], [7, 8], [9]]","He died on August 2, 1922. \newline in Baddeck, Canada.","['# ::snt He died on August 2, 1922.\n(d / die-01\n      :ARG1 (h / he)\n      :time (d2 / date-entity\n            :year 1922\n            :month 8\n            :day 2))', '# ::snt \\newline in Baddeck, Canada.\n(l / line\n      :ARG1-of (n / new-01)\n      :location (c / city\n            :name (n2 / name\n                  :op1 ""Baddeck"")\n            :location (c2 / country\n                  :name (n3 / name\n                        :op1 ""Canada""))))']"
3,3,10001057,alexander-graham-bell,Bells Vater war Dozent für Vorlesungen und Reden.,5_long,Personen|Seiten_mit_defekten_Dateilinks,2022-03-03T19:51:00Z,28d34f2e053dee2c0e9399a7924cd978,0:=Der 1:=Vater 2:=von 3:=Bell 4:=war 5:=Professor 6:=für 7:=Rede-kunst 8:=und 9:=Vortrags-kunst.,3,"[[0, 1, 2, 3, 4], [6, 7], [6, 9]]",Bell's father was a lecturer and speaker.,"['# ::snt Bell\'s father was a lecturer and speaker.\n(a / and\n      :op1 (l / lecture-01\n            :ARG0 (p / person\n                  :ARG0-of (h / have-rel-role-91\n                        :ARG1 (p2 / person\n                              :name (n / name\n                                    :op1 ""Bell""))\n                        :ARG2 (f / father))))\n      :op2 (s / speak-01\n            :ARG0 p))']"
4,4,10001089,alexander-mitscherlich,"Er starb am 26. Juni 1982. \newline in Frankfurt am Main, Deutschland.",2_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2022-02-28T12:34:31Z,e800bebc9060331edfac65e663a55570,"0:=Er 1:=stirbt 2:=am 3:=26. 4:=Juni 5:=1982. 6:=\newline 7:=In 8:=Frankfurt 9:=am 10:=Main, 11:=Deutschland.",3,"[[2, 3, 4, 5], [7, 8, 9, 10], [7, 11]]","He died on June 26, 1982. \newline in Frankfurt am Main, Germany.","['# ::snt He died on June 26, 1982.\n(d / die-01\n      :ARG1 (h / he)\n      :time (d2 / date-entity\n            :year 1982\n            :month 6\n            :day 26))', '# ::snt \\newline in Frankfurt am Main, Germany.\n(l / line\n      :ARG1-of (n / new-01)\n      :location (c / city\n            :name (n2 / name\n                  :op1 ""Frankfurt""\n                  :op2 ""Am""\n                  :op3 ""Main"")\n            :location (c2 / country\n                  :name (n3 / name\n                        :op1 ""Germany""))))']"
5,5,10001096,alexander-mitscherlich,Er schrieb das Buch zusammen mit seiner Frau Margarete Mitscherlich.,6_short,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2022-02-28T12:34:31Z,e800bebc9060331edfac65e663a55570,0:=Das 1:=Buch 2:=hat 3:=er 4:=zusammen 5:=mit 6:=seiner 7:=Frau 8:=Margarete 9:=Mitscherlich 10:=geschrieben.,3,"[[1, 2, 10], [4, 5, 6, 7], [7, 8, 9]]",He wrote the book together with his wife Margarete Mitscherlich.,"['# ::snt He wrote the book together with his wife Margarete Mitscherlich.\n(w / write-01\n      :ARG0 (h / he)\n      :ARG1 (b / book)\n      :accompanier (p / person\n            :name (n / name\n                  :op1 ""Margarete""\n                  :op2 ""Mitscherlich"")\n            :ARG0-of (h2 / have-rel-role-91\n                  :ARG1 h\n                  :ARG2 (w2 / wife))))']"
6,6,10001099,alexander-sergejewitsch-puschkin,"Er starb am 10. Februar 1837. \newline in St. Petersburg, Russland.",2_long,Personen|Seiten_mit_defekten_Dateilinks,2022-02-23T15:16:44Z,e800bebc9060331edfac65e663a55570,"0:=Er 1:=stirbt 2:=am 3:= 4:=10. 5:=Februar 6:=1837. 7:=\newline 8:=In 9:=Sankt 10:=Petersburg, 11:=Russland.",3,"[[2, 3, 4, 5, 6], [8, 9, 10], [8, 11]]","He died on February 10, 1837. \newline in St. Petersburg, Russia.","['# ::snt He died on February 10, 1837.\n(d / die-01\n      :ARG1 (h / he)\n      :time (d2 / date-entity\n            :day 10\n            :month 2\n            :year 1837))', '# ::snt \\newline in St. Petersburg, Russia.\n(b / be-located-at-91\n      :ARG1 (l / line\n            :ARG1-of (n / new-01))\n      :ARG2 (c / city\n            :name (n2 / name\n                  :op1 ""St.""\n                  :op2 ""Petersburg"")\n            :location (c2 / country\n                  :name (n3 / name\n                        :op1 ""Russia""))))']"
7,7,10001103,alexander-sutherland-neill,"Er starb am 23. September 1973. \newline In Aldeburgh, Suffolk, England.",2_long,Personen|Seiten_mit_defekten_Dateilinks,2022-02-28T11:47:20Z,e800bebc9060331edfac65e663a55570,"0:=Er 1:=stirbt 2:=am 3:=23. 4:=September 5:=1973. 6:=\newline 7:=In 8:=Aldeburgh, 9:=Suffolk, 10:=England.",3,"[[2, 3, 4, 5], [7, 8, 9], [7, 10]]","He died on 23 September 1973. \newline In Aldeburgh, Suffolk, England.","['# ::snt He died on 23 September 1973.\n(d / die-01\n      :ARG1 (h / he)\n      :time (d2 / date-entity\n            :day 23\n            :month 9\n            :year 1973))', '# ::snt \\newline In Aldeburgh, Suffolk, England.\n(b / be-located-at-91\n      :ARG1 (l / line\n            :ARG1-of (n / new-01))\n      :ARG2 (c / city\n            :name (n2 / name\n                  :op1 ""Aldeburgh"")\n            :location (c2 / county\n                  :name (n3 / name\n                        :op1 ""Suffolk"")\n                  :location (c3 / country\n                        :name (n4 / name\n                              :op1 ""England"")))))']"
8,8,10001117,alice-miller,"Sie starb am 14. April 2010. \newline Saint-Rémy-de-Provence, Provence-Alpes-Côte d'Azur, Frankreich.",2_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2022-03-02T14:11:08Z,e800bebc9060331edfac65e663a55570,"0:=Sie 1:=stirbt 2:=am 3:=14. 4:=April 5:=2010. 6:=\newline 7:=In 8:=Saint-Rémy-de-Provence, 9:=Provence-Alpes-Côte 10:=d'Azur, 11:=Frankreich.",4,"[[2, 3, 4, 5], [7, 8], [7, 9, 10], [7, 11]]","She died on April 14, 2010. \newline Saint-Rémy-de-Provence, Provence-Alpes-Côte d'Azur, France.","['# ::snt She died on April 14, 2010.\n(d / die-01\n      :ARG1 (s / she)\n      :time (d2 / date-entity\n            :day 14\n            :month 4\n            :year 2010))', '# ::snt \\newline Saint-Rémy-de-Provence, Provence-Alpes-Côte d\'Azur, France.\n(l / line\n      :name (n / name\n            :op1 ""Newline""\n            :op2 ""Saint-Rémy-de-Provence"")\n      :location (p / province\n            :name (n2 / name\n                  :op1 ""Provence-Alpes-Côte""\n                  :op2 ""d\'Azur"")\n            :part-of (c / country\n                  :name (n3 / name\n                        :op1 ""France""))))']"
9,9,10001184,allee,Eine lange Allee \newline hat auf beiden Seiten Bäume.,0_long,Ohne_Kategorie,2012-06-10T17:54:11Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Eine 1:=Allee 2:=ist 3:=lang 4:= 5:=\newline 6:=und 7:=hat 8:=rechts 9:=und 10:=links 11:=Bäume.,3,"[[2, 3], [7, 8, 11], [7, 10, 11]]",A long avenue \newline has trees on both sides.,"['# ::snt A long avenue \\newline has trees on both sides.\n(h / have-03\n      :ARG0 (a / avenue\n            :name (n / name\n                  :op1 ""Avenue""\n                  :op2 ""19newline"")\n            :ARG1-of (l / long-03))\n      :ARG1 (t / tree)\n      :location (s / side\n            :mod (b / both)))']"
