sent-id,topic,phrase,num_statements,statement_spans,LLAMA predictions
29217,louis-braille,Louis Braille wurde am 4. Januar 1809 geboren.,1,,"[[2, 3, 4, 5, 6]]"
29218,louis-braille,"Das war in Coupvray, Frankreich.",2,"[[3], [4]]","[[0, 1, 2, 3, 4]]"
29219,louis-braille,Er ist am 6. Januar 1852 gestorben.,1,,"[[2, 3, 4, 5, 6]]"
29220,louis-braille,"Das war in Paris, Frankreich.",2,"[[3], [4]]","[[0, 1, 2]]"
29221,louis-braille,"Als Louis Braille 3 Jahre alt war, \newline hat er in der Werk-statt von seinem Vater gespielt.",4,"[[0, 1, 2, 3, 4, 5, 6], [8, 9, 16], [10, 12], [12, 13, 14, 15]]","[[0, 1, 2, 3, 4, 5], [6, 7, 8, 9, 10, 11]]"
29222,louis-braille,Er hat mit einer Ahle gespielt.,2,"[[2, 4], [0, 1, 5]]","[[0, 1, 2, 3, 4]]"
29223,louis-braille,Mit der Ahle hat er sich ein Auge schwer verletzt.,4,"[[0, 2], [3, 4, 5, 9], [7], [8]]","[[1, 2, 3, 4, 5]]"
29224,louis-braille,Das verletzte Auge hat sich entzündet.,2,"[[1], [2, 3, 4, 5]]","[[1, 2, 3, 4]]"
29225,louis-braille,Und dann das andere Auge angesteckt.,1,,"[[1, 2, 3, 4, 5]]"
29226,louis-braille,Danach war Louis Braille blind.,1,,"[[0, 1, 2]]"
29227,louis-braille,Louis Braille ging zur ersten Blinden-schule der Welt.,1,,"[[1, 2, 3, 4, 5]]"
29228,louis-braille,Das war die Schule von Valentin Haüy.,1,,"[[0, 1, 2, 3, 4]]"
29229,louis-braille,Valentin Haüy hat verschiedene Geräte gebaut.,1,,"[[0, 1, 2, 3]]"
29230,louis-braille,"Zum Beispiel ein Gerät, \newline dass Musik-noten auf Papier prägen konnte.",1,,"[[0, 1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11]]"
29231,louis-braille,So konnte man die Noten mit den Fingern fühlen.,1,,"[[0, 1, 2, 3, 4, 5, 6]]"
29232,louis-braille,Louis Braille fand die Idee gut.,1,,"[[0, 1, 2, 3, 4]]"
29233,louis-braille,Er hat in der Werkstatt von seinem Vater verschiedene Sachen ausprobiert.,3,"[[0, 1, 8, 9, 10], [2, 4], [5, 6, 7]]","[[1, 2, 3, 4, 5], [6, 7, 8, 9, 10]]"
