sent-id,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized,num_statements,statement_spans
1000991,alchemie,Zum Beispiel wollen sie kranke Menschen gesund machen.,4_long,Wissenschaft|Seiten_mit_defekten_Dateilinks,2022-10-03T06:15:06Z,48f66906899cc4a9477b6c9e32ff4424,"0:=Zum 1:=Beispiel, 2:=\newline 3:=wollen 4:=sie 5:=kranke 6:=Menschen 7:=gesund 8:=machen.",2,"[[3, 4], [5, 6, 7, 8]]"
1000997,alchemie,Es werden Tests und Experimente durchgeführt.,1_short,Wissenschaft|Seiten_mit_defekten_Dateilinks,2022-10-03T06:15:06Z,48f66906899cc4a9477b6c9e32ff4424,0:=Es 1:=werden 2:=Versuche 3:=und 4:=Experimente 5:=gemacht.,2,"[[2], [4]]"
1000998,alchemie,"Um zu verstehen, wie etwas funktioniert.",2_short,Wissenschaft|Seiten_mit_defekten_Dateilinks,2022-10-03T06:15:06Z,48f66906899cc4a9477b6c9e32ff4424,0:=Damit 1:=man 2:=versteht 3:=wie 4:=etwas 5:=funktioniert.,2,"[[0, 1, 2], [3, 4, 5]]"
1001004,alcopop,Alkopo wird meist in bunten Flaschen verkauft.,2_long,Ohne_Kategorie,2008-03-03T13:27:50Z,1165823e29d5567f66ef3bbbcbfabcad,0:=Meistens 1:=werden 2:=Alkopos 3:=in 4:=bunten 5:=Flaschen 6:=verkauft.,2,"[[1, 2, 3, 6], [4]]"
1001005,alcopop,Alcopop ist ein süßes Getränk.,0_short,Ohne_Kategorie,2008-03-03T13:27:50Z,1165823e29d5567f66ef3bbbcbfabcad,0:=Alcopop 1:=ist 2:=ein 3:=süßes 4:=Getränk.,2,"[[0, 1, 4], [3]]"
1001013,aleppo,Aleppo ist eine sehr alte Stadt.,0_long,Städte|Seiten_mit_defekten_Dateilinks,2016-09-26T14:57:00Z,7b5adf57ed2178795004f4c052333f37,0:=Aleppo 1:=ist 2:=eine 3:=sehr 4:=alte 5:=Stadt.,2,"[[3, 4], [5]]"
1001015,aleppo,"Im Jahr 2008 lebten etwa 1,7 Millionen Menschen in Aleppo.",2_long,Städte|Seiten_mit_defekten_Dateilinks,2016-09-26T14:57:00Z,7b5adf57ed2178795004f4c052333f37,"0:=Im 1:=Jahr 2:=2008 3:=haben 4:=ungefähr 5:=1,7 6:=Millionen 7:=Menschen 8:=in 9:=Aleppo 10:=gewohnt.",2,"[[0, 1, 2], [4, 5, 6]]"
1001016,aleppo,Die meisten Menschen in Aleppo sind Araber und Kurden.,3_long,Städte|Seiten_mit_defekten_Dateilinks,2016-09-26T14:57:00Z,7b5adf57ed2178795004f4c052333f37,0:=Die 1:=meisten 2:=Menschen 3:=in 4:=Aleppo 5:=sind 6:=Araber 7:=und 8:=Kurden.,2,"[[6], [8]]"
1001020,aleppo,1952 entwarf der Architekt neue Straßen.,7_long,Städte|Seiten_mit_defekten_Dateilinks,2016-09-26T14:57:00Z,7b5adf57ed2178795004f4c052333f37,0:=Im 1:=Jahr 2:=1952 3:=hat 4:=ein 5:=Architekt 6:=neue 7:=Straßen 8:=geplant.,2,"[[0, 1, 2], [3, 5, 6, 7, 8]]"
1001022,aleppo,Seit 1970 arbeiteten Bauarbeiter in der Altstadt.,9_long,Städte|Seiten_mit_defekten_Dateilinks,2016-09-26T14:57:00Z,7b5adf57ed2178795004f4c052333f37,0:=Ab 1:=dem 2:=Jahr 3:=1970 4:=waren 5:=Bau-arbeiter 6:=in 7:=der 8:=Alt-stadt.,2,"[[0, 1, 2, 3], [5, 6, 7, 8]]"
