sent-id,phrase,num_statements,statement_spans,tree,is_sent,big_np_count,big_pp_count
989,Eine sehr bekannte Alchemisten war Maria die Jüdin.,1,,(S (NP (ART Eine) (AP (ADV sehr) (ADJA bekannte)) (NN Alchemisten)) (VAFIN war) (PN (NE Maria) (NP (ART die) (NN Jüdin)))) ($. .),1,1,0
990,Alchemisten wollen etwas ver-bessern.,1,,(S (NN Alchemisten) (VMFIN wollen) (VP (PIS etwas) (VVINF ver-bessern))) ($. .),1,0,0
991,"Zum Beispiel, \newline wollen sie kranke Menschen gesund machen.",2,"[[3, 4], [5, 6, 7, 8]]","(PP (APPRART Zum) (NN Beispiel)) ($, ,) (S (ADV \newline) (VMFIN wollen) (PPER sie) (VP (NP (ADJA kranke) (NN Menschen)) (ADJD gesund) (VVINF machen))) ($. .)",1,0,0
992,Alchemisten haben Athanoren benutzt.,1,,(S (NN Alchemisten) (VAFIN haben) (VP (NN Athanoren) (VVPP benutzt))) ($. .),1,0,0
993,Sue haben Schwarz-pulver erfunden.,1,,(S (NE Sue) (VAFIN haben) (VP (NN Schwarz-pulver) (VVPP erfunden))) ($. .),1,0,0
994,Und sie haben Porzellan erfunden.,1,,(S (KON Und) (PPER sie) (VAFIN haben) (VP (NN Porzellan) (VVPP erfunden))) ($. .),1,0,0
995,Alchemie ist ein arabisches Wort.,1,,(S (NN Alchemie) (VAFIN ist) (NP (ART ein) (ADJA arabisches) (NN Wort))) ($. .),1,1,0
996,Alchemie ist Chemie.,1,,(S (NN Alchemie) (VAFIN ist) (NN Chemie)) ($. .),1,0,0
997,Es werden Versuche und Experimente gemacht.,2,"[[2], [4]]",(S (NP (PPER Es)) (VAFIN werden) (CNP (NN Versuche) (KON und) (NN Experimente)) (VVPP gemacht)) ($. .),1,0,0
998,Damit man versteht wie etwas funktioniert.,2,"[[0, 1, 2], [3, 4, 5]]",(S (KOUS Damit) (PIS man) (VVFIN versteht) (S (PWAV wie) (PIS etwas) (VVFIN funktioniert))) ($. .),1,0,0
999,Durch Alchemie entdeckt man neue Sachen.,1,,(S (PP (APPR Durch) (NN Alchemie)) (VVFIN entdeckt) (PIS man) (NP (ADJA neue) (NN Sachen))) ($. .),1,0,0
1000,Zum Beispiel wie man Porzellan macht.,1,,(S (PP (APPRART Zum) (NN Beispiel)) (PWAV wie) (PIS man) (NN Porzellan) (VVFIN macht)) ($. .),1,0,0
1001,Oder wie man Gold macht.,1,,(S (KON Oder) (PWAV wie) (PIS man) (NN Gold) (VVFIN macht)) ($. .),1,0,0
1002,Alkopops schmecken ähnlich wie Cola.,1,,(S (NN Alkopops) (VVFIN schmecken) (AP (ADJD ähnlich) (NP (KOKOM wie) (NN Cola)))) ($. .),1,0,0
1003,Den Alkohol schmeckt man fast nicht.,1,,(S (NP (ART Den) (NN Alkohol)) (VVFIN schmeckt) (PIS man) (AVP (ADV fast) (PTKNEG nicht))) ($. .),1,0,0
1004,Meistens werden Alkopos in bunten Flaschen verkauft.,2,"[[1, 2, 3, 6], [4]]",(S (ADV Meistens) (VAFIN werden) (NN Alkopos) (VP (PP (APPR in) (ADJA bunten) (NN Flaschen)) (VVPP verkauft))) ($. .),1,0,0
