sent-id,phrase,num_statements,statement_spans,tree,is_sent,big_np_count,big_pp_count
5035,Diese Flugzeuge transportierten Nahrung und Brenn-material.,2,"[[3],[5]]",(S (NP (PDAT Diese) (NN Flugzeuge)) (VVFIN transportierten) (CNP (NN Nahrung) (KON und) (NN Brenn-material))) ($. .),1,0,0
5064,Man kann mit einem Fahr-stuhl nach oben fahren.,2,"[[2,4],[5,6]] ",(S (PIS Man) (VMFIN kann) (VP (PP (APPR mit) (ART einem) (NN Fahr-stuhl)) (PP (APPR nach) (ADV oben)) (VVINF fahren))) ($. .),1,0,0
1049,Alex Honnold ist ein bekannter Free Solo Kletterer.,2,"[[4],[5,6,7]]",(S (PN (NE Alex) (NE Honnold)) (VAFIN ist) (NP (ART ein) (ADJA bekannter) (FM Free) (FM Solo) (NN Kletterer))) ($. .),1,1,0
1024,"Und neue, moderne Wohn-blöcke gebaut.",2,"[[1],[2]]","(KON Und) (CAP (ADJA neue)) ($, ,) (VP (NP (ADJA moderne) (NN Wohn-blöcke)) (VVPP gebaut)) ($. .)",0,0,0
5049,Die Siegermächte regierten ab sofort in ihrer eigenen Zone.,2,"[[3,4],[5,6,7,8]] ",(S (NP (ART Die) (NN Siegermächte)) (VVFIN regierten) (PP (APPR ab) (ADV sofort)) (PP (APPR in) (PPOSAT ihrer) (ADJA eigenen) (NN Zone))) ($. .),1,0,1
38789,"Sie treffen sich,  \newline um gemeinsam kaputte Dinge zu reparieren.",3,"[[0,1,2],[7,8,9,10],[6]]","(S (PPER Sie) (VVFIN treffen) (PRF sich)) ($, ,) ($.  ) (ADV \newline) (VP (KOUI um) (ADJD gemeinsam) (NP (ADJA kaputte) (NN Dinge)) (VZ (PTKZU zu) (VVINF reparieren))) ($. .)",1,0,0
12729,Manche sagen: \newline Die Elb-philharmonie ist ist gut.,1,,(S (PIS Manche) (VVFIN sagen)) ($. :) (FM \newline),1,0,0
1082,Im Jahr 1877 heiraten Alexander Graham Bell und Mabel Hubbard.,2,"[[0,1,2],[3,4,5,6,7,8,9]]",(S (PP (APPRART Im) (NN Jahr) (CARD 1877)) (VVFIN heiraten) (CNP (PN (NE Alexander) (NE Graham) (NE Bell)) (KON und) (PN (NE Mabel) (NE Hubbard)))) ($. .),1,0,0
5002,In einem Berg-werk graben Menschen in der Erde.,1,,(S (PP (APPR In) (ART einem) (NN Berg-werk)) (VVFIN graben) (NN Menschen) (PP (APPR in) (ART der) (NN Erde))) ($. .),1,0,0
5067,Der Berliner Fernsehturm ist ein Wahrzeichen der Stadt.,1,,(S (NP (ART Der) (ADJA Berliner) (NN Fernsehturm)) (VAFIN ist) (NP (ART ein) (NN Wahrzeichen) (NP (ART der) (NN Stadt)))) ($. .),1,2,0
40,Der Abfall kommt in Tonnen oder Säcke.,2,"[[4],[6]]",(S (NP (ART Der) (NN Abfall)) (VVFIN kommt) (PP (APPR in) (CNP (NN Tonnen) (KON oder) (NN Säcke)))) ($. .),1,0,1
1081,An der Universität Boston.,0,,(PP (APPR An) (ART der) (NN Universität) (NE Boston)) ($. .),0,0,1
