sentence,tree,is_sent,big_np_count,big_pp_count
Im Jahr 1986 erklärte die UNESCO:\newlineDie Altstadt von Aleppo gehört heute zum Weltkulturerbe.,(PP (APPRART Im) (NN Jahr) (CARD 1986)) (VVFIN erklärte) (ART die) (XY UNESCO:\newlineDie),0,0,0
Die größte Stadt in Syrien ist Damaskus.,(S (NP (ART Die) (ADJA größte) (NN Stadt) (PP (APPR in) (NE Syrien))) (VAFIN ist) (NE Damaskus)) ($. .),1,1,0
"Er starb am 2. August 1922. \newline in Baddeck, Kanada.",(PPER Er) (VVFIN starb) (APPRART am) (ADJA 2.) (NN August) ($. 1922.),0,0,0
Bells Vater war Dozent für Vorlesungen und Reden.,(S (NP (NE Bells) (NN Vater)) (VAFIN war) (NP (NN Dozent) (PP (APPR für) (CNP (NN Vorlesungen) (KON und) (NN Reden))))) ($. .),1,1,1
"Er starb am 26. Juni 1982. \newline in Frankfurt am Main, Deutschland.",(PPER Er) (VVFIN starb) (APPRART am) (ADJA 26.) (NN Juni) ($. 1982.),0,0,0
Er schrieb das Buch zusammen mit seiner Frau Margarete Mitscherlich.,(S (PPER Er) (VVFIN schrieb) (NP (ART das) (NN Buch)) (PP (ADV zusammen) (APPR mit) (PPOSAT seiner) (NN Frau) (PN (NE Margarete) (NE Mitscherlich)))) ($. .),1,0,1
"Er starb am 10. Februar 1837. \newline in St. Petersburg, Russland.",(PPER Er) (VVFIN starb) (APPRART am) (ADJA 10.) (NN Februar) ($. 1837.),0,0,0
"Er starb am 23. September 1973. \newline In Aldeburgh, Suffolk, England.",(PPER Er) (VVFIN starb) (APPRART am) (ADJA 23.) (NN September) ($. 1973.),0,0,0
"Sie starb am 14. April 2010. \newline Saint-Rémy-de-Provence, Provence-Alpes-Côte d'Azur, Frankreich.",(PPER Sie) (VVFIN starb) (APPRART am) (ADJA 14.) (NN April) ($. 2010.),0,0,0
Eine lange Allee \newline hat auf beiden Seiten Bäume.,(S (NP (ART Eine) (ADJA lange) (NN Allee) (FM \newline)) (VAFIN hat) (PP (APPR auf) (PIAT beiden) (NN Seiten)) (NN Bäume)) ($. .),1,1,0
"Wenn etwas oder jemand überall ist, dann heißt \newline: \newline überall","(AVP (S (KOUS Wenn) (CNP (PIS etwas) (KON oder) (PIS jemand)) (ADV überall) (VAFIN ist))) ($, ,) (S (ADV dann) (VVFIN heißt) (NE \newline)) ($. :) (NP (S (NE \newline) (ADV überall)))",1,0,0
Wichtige Kenntnisse im Leben nennt man auch Allgemeinbildung.,(S (NP (ADJA Wichtige) (NN Kenntnisse) (PP (APPRART im) (NN Leben))) (VVFIN nennt) (PIS man) (ADV auch) (NN Allgemeinbildung)) ($. .),1,1,0
"Damit sind Europa, Afrika und Asien gemeint.","(S (PROAV Damit) (VAFIN sind) (CNP (NE Europa))) ($, ,) (NE Afrika) (KON und) (NE Asien) (VP (VVPP gemeint)) ($. .)",1,0,0
