sent-id,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized,num_statements,statement_spans,notes,disj_count,min_dep_length,conj_count,mean_dep_length,token_count,verb_count,max_dep_length,class_score,flesh_reading_ease
5035,berlin-blockade,Diese Flugzeuge transportierten Nahrung und Brenn-material.,21_long,Politik|Seiten_mit_defekten_Dateilinks,2016-01-24T11:51:34Z,a87abd4ebcc677b326b5b117860e863b,0:=Diese 1:=Flugzeuge 2:=transportierten 3:=Nahrung 4:=und 5:=Brenn-material.,2,"[[3],[5]]",conjunction,0,1,0,1.5,7,1,4,0.98,31.55
5064,berliner-fernsehturm,Man kann mit einem Fahr-stuhl nach oben fahren.,8_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2023-07-15T18:02:33Z,af7adc773949650e35f6f40ea06c535c,0:=Man 1:=kann 2:=mit 3:=einem 4:=Fahr-stuhl 5:=nach 6:=oben 7:=fahren.,2,"[[2,4],[5,6]] ",prepositional ,0,1,0,3.12,9,1,7,1.0,114.12
1049,alex-honnold,Alex Honnold ist ein bekannter Free Solo Kletterer.,0_short,Sport|Personen|Seiten_mit_defekten_Dateilinks,2021-07-16T21:06:31Z,e54ca469914bc262b958dc327fbe1253,0:=Alex 1:=Honnold 2:=ist 3:=ein 4:=bekannter 5:=Free 6:=Solo 7:=Kletterer.,2,"[[4],[5,6,7]]",single adjective,0,1,0,2.88,9,0,6,0.99,63.36
1024,aleppo,"Und neue, moderne Wohn-blöcke gebaut.",11_long,Städte|Seiten_mit_defekten_Dateilinks,2016-09-26T14:57:00Z,7b5adf57ed2178795004f4c052333f37,"0:=Und 1:=neue, 2:=moderne 3:=Wohn-blöcke 4:=gebaut.",2,"[[1],[2]]",sequence of adjectives,0,1,0,2.17,7,1,5,1.0,83.32
5049,berliner-erklarung-alliierte,Die Siegermächte regierten ab sofort in ihrer eigenen Zone.,8_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2015-12-16T18:40:15Z,3d503e53a51c622cb86f9b0570441d1d,0:=Die 1:=Siegermächte 2:=regierten 3:=ab 4:=sofort 5:=in 6:=ihrer 7:=eigenen 8:=Zone.,2,"[[3,4],[5,6,7,8]] ",adverbials ,0,1,0,2.22,10,1,7,1.0,96.18
38789,repair-cafe,"Sie treffen sich,  \newline um gemeinsam kaputte Dinge zu reparieren.",1_short,Umwelt|Entsorgung,2013-08-06T10:39:17Z,eaab3232dd7a824a6a774fd2f2814e47,"0:=Sie 1:=treffen 2:=sich, 3:= 4:=\newline 5:=um 6:=gemeinsam 7:=kaputte 8:=Dinge 9:=zu 10:=reparieren.",3,"[[0,1,2],[7,8,9,10],[6]]",infinitive,0,1,0,3.42,13,2,11,0.9,52.87
12729,elbphilharmonie,Manche sagen: \newline Die Elb-philharmonie ist ist gut.,24_long,Ort|Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2016-11-03T09:24:04Z,6275ee07d0785a2da491fbb224064f23,0:=Manche 1:=sagen: 2:=\newline 3:=Die 4:=Elb-philharmonie 5:=ist 6:=ist 7:=gut.,1,,colon,0,1,0,1.29,10,1,2,0.98,80.28
1082,alexander-graham-bell,Im Jahr 1877 heiraten Alexander Graham Bell und Mabel Hubbard.,30_long,Personen|Seiten_mit_defekten_Dateilinks,2022-03-03T19:51:00Z,28d34f2e053dee2c0e9399a7924cd978,0:=Im 1:=Jahr 2:=1877 3:=heiraten 4:=Alexander 5:=Graham 6:=Bell 7:=und 8:=Mabel 9:=Hubbard.,2,"[[0,1,2],[3,4,5,6,7,8,9]]",Jahresangabe,0,1,0,2.2,11,1,7,1.0,69.79
5002,bergwerk,In einem Berg-werk graben Menschen in der Erde.,1_short,Natur|Arbeit,2017-12-18T11:16:21Z,6897e737e0f4a3a3d2176a148dacc89b,0:=In 1:=einem 2:=Berg-werk 3:=graben 4:=Menschen 5:=in 6:=der 7:=Erde.,1,, „in der Erde graben“ is redundant,0,1,0,2.12,9,1,5,1.0,80.28
5067,berliner-fernsehturm,Der Berliner Fernsehturm ist ein Wahrzeichen der Stadt.,11_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2023-07-15T18:02:33Z,af7adc773949650e35f6f40ea06c535c,0:=Der 1:=Berliner 2:=Fernsehturm 3:=ist 4:=ein 5:=Wahrzeichen 6:=der 7:=Stadt.,1,,,0,1,0,1.88,9,0,5,1.0,80.28
40,abfalltrennung,Der Abfall kommt in Tonnen oder Säcke.,6_long,Entsorgung|Öffentliche_Verwaltung|Seiten_mit_defekten_Dateilinks,2016-07-28T07:55:27Z,76bf1508c054395f67a605468d76c22f,0:=Der 1:=Abfall 2:=kommt 3:=in 4:=Tonnen 5:=oder 6:=Säcke.,2,"[[4],[6]]",conjunction,0,1,0,1.57,8,1,5,1.0,89.75
1081,alexander-graham-bell,An der Universität Boston.,29_long,Personen|Seiten_mit_defekten_Dateilinks,2022-03-03T19:51:00Z,28d34f2e053dee2c0e9399a7924cd978,0:=An 1:=der 2:=Universität 3:=Boston.,0,,"incomplete sentence, verb missing",0,1,0,1.33,5,0,2,1.0,50.5
